player_id,real_name,player_dob,player_position,place_of_birth,nationality,height_ft,height_cm,weight_st,weight_kg
6025,Simon Osborn,1972-01-19,Midfielder,Croydon,England,5ft 10in,178.0,11st 4lb,71.66
7832,Scott Taylor,1976-05-05,Forward,Chertsey,England,5ft 10in,178.0,11st 4lb,71.66
306,Philip Babb,1970-11-30,Defender,Lambeth,Ireland,6ft,183.0,12st 3lb,77.55
11685,Michael Black,1976-10-06,Midfielder,Chigwell,England,5ft 8in,173.0,11st 8lb,73.47
11104,Stephen Frail,1969-08-10,Defender,Glasgow,Scotland,6ft,183.0,11st 13lb,75.74
14769,Neil Gibson,1979-10-10,Midfielder,St Asaph,Wales,5ft 11in,180.0,11st 8lb,73.47
3021,Tony Grant,1974-11-14,Midfielder,Liverpool,England,5ft 11in,180.0,10st 10lb,68.03
3990,Lee Jones,1973-05-29,Forward,Wrexham,Wales,5ft 8in,173.0,10st 8lb,67.12
4100,David Kelly,1965-11-25,Forward,Birmingham,Ireland,5ft 11in,180.0,11st 3lb,71.2
15987,Pedro Miguel Matias,1973-10-11,Midfielder,"Madrid, Spain",Spain,6ft,183.0,12st,76.19
14774,Andy Moran,,Forward,,,,,,
15027,Georges Santos,1970-08-15,Defender,Marseille,Cape Verde,6ft 3in,191.0,14st 8lb,92.52
7898,Andrew Thompson,1967-11-09,Defender,Cannock,England,5ft 5in,165.0,10st 6lb,66.21
3810,Kenneth Irons,1970-11-04,Midfielder,Liverpool,England,5ft 9in,175.0,11st,69.84
5121,John McGreal,1972-06-02,Defender,Birkenhead,England,5ft 11in,180.0,10st 11lb,68.48
5618,John Morrissey,1965-03-08,Forward,Liverpool,England,5ft 8in,173.0,11st 9lb,73.92
5912,Liam O'Brien,1964-09-05,Midfielder,Dublin,Ireland,6ft 1in,185.0,11st 10lb,74.38
6947,Craig Russell,1974-02-04,Forward,South Shields,England,5ft 10in,178.0,12st 6lb,78.91
9704,Paul Shepherd,1977-11-17,Forward,Leeds,England,6ft,183.0,11st 4lb,71.66
10723,Steven Simonsen,1979-04-03,Goalkeeper,South Shields,England,6ft 2in,188.0,12st 4lb,78.0
9155,Ryan Williams,1978-08-31,Midfielder,Mansfield,England,5ft 4in,163.0,9st 6lb,59.86
79,John Aldridge,1958-09-18,Forward,Liverpool,Ireland,5ft 11in,180.0,11st 4lb,71.66
917,Graham Branch,1972-02-12,Midfielder,Liverpool,England,6ft 2in,188.0,12st 2lb,77.1
1622,Paul Cook,1967-02-22,Midfielder,Liverpool,England,5ft 11in,180.0,10st 10lb,68.03
11878,Dirk Hebel,,Midfielder,,Germany,,,,
4316,Dariusz Kubicki,1963-06-06,Defender,"Warsaw, Poland",Poland,5ft 11in,180.0,11st 2lb,70.75
10712,Kevin McIntyre,1977-12-23,Defender,Liverpool,England,6ft,183.0,11st 11lb,74.83
13832,Gareth Powell,,Defender,,,,,,
7606,Michael Stevens,1963-03-27,Defender,Barrow,England,5ft 11in,180.0,10st 11lb,68.48
7940,Andrew Thorn,1966-11-12,Defender,Carshalton,England,6ft,183.0,11st 5lb,72.11
805,Ivano Bonetti,1964-08-01,Midfielder,"Brescia, Italy",Italy,5ft 10in,178.0,11st,69.84
925,Gerard Brannan,1972-01-15,Midfielder,Prescot,England,6ft,183.0,13st 6lb,85.26
3482,David Higgins,1961-08-19,Defender,Liverpool,England,6ft,183.0,11st,69.84
5682,Steven Mungall,1958-05-22,Defender,Bellshill,Scotland,5ft 8in,173.0,11st 5lb,72.11
5828,Patrick Nevin,1963-09-06,Forward,Glasgow,Scotland,5ft 6in,168.0,11st 5lb,72.11
8945,Alan Rogers,1977-01-03,Defender,Liverpool,England,5ft 10in,178.0,11st 8lb,73.47
7838,Shaun Teale,1964-03-10,Defender,Southport,England,6ft,183.0,13st 10lb,87.08
7874,Anthony Thomas,1971-07-12,Defender,Liverpool,England,5ft 11in,180.0,12st 5lb,78.46
9811,Billy Woods,1973-10-24,Forward,Cork,Ireland,6ft,183.0,12st,76.19
24422,Seyni N'Diaye,1973-06-01,Forward,Dakar,Senegal,,,,
24078,Perry Taylor,1981-01-29,Forward,Birkenhead,England,,,,
94139,Sam Ilesanmi,1998-07-13,Forward,,England,,,,
102630,Callum Lucy,1998-11-09,Midfielder,,England,,,,
